NAME,ADDRESS,PHONE,WEBSITE,DECISION MAKER
White Tiger Kenpo Karate Studio,"823 S Rohlwing RdAddison, IL 60101",(630) 495-1711
Sharkeys Karate Studios,"1701 Quincy Ave Ste 4Naperville, IL 60540",(630) 369-8055
Sharkey's Karate Studio,"2916 W Ogden Ave Ste 120Naperville, IL 60540",(630) 369-8055
Z-Ultimate Self Defense Studios,"4173 Dundee RdNorthbrook, IL 60062",(847) 272-7140
Z-Ultimate Self Defense Studios,"1809 Waukegan RdGlenview, IL 60025",(224) 432-5980
Z-Ultimate Self Defense Studio - CLOSED,"1515 Waukegan RdGlenview, IL 60025",(847) 486-9633
Fit Girl Studio - CLOSED,"1642 Maple AveEvanston, IL 60201",(847) 869-4475
Lake Zurich Family Martial,"215 S Rand RdLake Zurich, IL 60047",(847) 726-2278
W Kim Taekwondo Lake Zurich - CLOSED,"465 S Rand RdLake Zurich, IL 60047",(847) 540-7727
Jones Brothers Tae Kwon Do Hap Ki Do - CLOSED,"1712 E Kensington RdMount Prospect, IL 60056",(847) 257-2210
Threshold Martial Arts,"1415 Ellinwood AveDes Plaines, IL 60016",(630) 903-0312
Combat Concepts Chicago,"2500 E Devon AveDes Plaines, IL 60018",(847) 310-8224
S B Kim's Martial Arts USA - CLOSED,"1825 W Golf RdSchaumburg, IL 60194",(847) 842-6911
Kon Jo Karate Club,"22029 N Pepper Rd Ste 3Lake Barrington, IL 60010",(847) 487-5006
Island Lake Martial Arts Ilsand Lake,"4015 Roberts RdIsland Lake, IL 60042",(847) 261-4662
Evolution Mixed Martial Arts - Schaumburg,"1207 Remington Rd, Suite 105Schaumburg, IL 60173",(224) 653-9708
Inendino Enterprises Inc,"2509 W Golf RdHoffman Estates, IL 60169",(309) 827-8100
Dynamic Wing Tsun Kung FU,"333 W Dundee RdWheeling, IL 60090",(847) 981-1760
Arlington Height Sch-Martial,"648 E Golf RdArlington Heights, IL 60005",(847) 253-1161
Lion's Tae Kwon-Do,"272 W Rand RdArlington Heights, IL 60004",(847) 279-2780
Japan Karate Association of Palatine - CLOSED,"1421 Chippewa TrlWheeling, IL 60090",(847) 437-5161
White Tiger Martial Arts Center,"286 W Palatine RdWheeling, IL 60090",(847) 310-8224
Kaya Martial Arts Inc,"1707 E Central RdArlington Heights, IL 60005",(847) 359-0666
Kim's Martial Arts,"1051 W Golf RdHoffman Estates, IL 60169",(847) 217-6280
Illinois Shotokan Karate Clubs,"327 N Eric DrPalatine, IL 60067",(224) 735-7668
Aikido Resolutions Foundation,"534 W Campus DrArlington Heights, IL 60004",(917) 306-4070
Tai Chi Society Of Illinois Taoist,"218 W Campbell StArlington Heights, IL 60005",(818) 383-5077
Yma Krav Maga,"211 S Arlington Heights RdArlington Heights, IL 60005",(630) 283-5904
Alpha Krav Maga International Inc,"501 E Manchester DrWheeling, IL 60090",""
Lcct Brazilian Jiu Jitsu Inc,"1154 S Roselle RdSchaumburg, IL 60193",""
